average_precision,bin,bin_count,bin_high,bin_low,brier,calibration,ece_10bin,fn_at_0.5,fp_at_0.5,hyperparameters,inner_average_precision,mean_predicted,model,observed_frequency,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,row_type,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
0.1361701596576084,,,,,0.031414729863432606,isotonic,0.016607305996247938,51,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.22977879935324225,,histgb,,4,0.74,-3.0,1,73,22,77.3130502477163,3.21,1961.28,2.0,4,4,100,25,1,321,196128,0.034,0.0,0.0,0.8195442428179002,fold_metric,2,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1449,0
0.1620733702329074,,,,,0.03477221930214706,uncalibrated,0.017568658656155162,54,3,C=0.1;class_weight=None;penalty=l1,0.20552440280609635,,logistic,,5,0.75,-2.0,4,71,19,82.1469087936498,2.67,1537.51,2.0,6,6,100,25,4,267,153751,0.037333333333333336,0.4,0.03571428571428571,0.8412210625247329,fold_metric,5,0.15,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1441,2
0.13294884656185416,,,,,0.03538217574311426,sigmoid,0.016313030960987455,56,0,C=1.0;class_weight=balanced;penalty=l1,0.2170564892236044,,logistic,,5,0.75,-2.0,3,72,20,76.2868366386012,3.41,2042.18,2.0,5,5,100,23,3,341,204218,0.037333333333333336,0.0,0.0,0.8411963296398892,fold_metric,10,0.075,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.1226599105977988,,,,,0.03874878710643033,isotonic,0.025818807249601533,54,4,C=1.0;class_weight=balanced;penalty=l1,0.20480097414685658,,logistic,,5,0.74,-3.0,2,72,21,72.5903708890259,3.99,2360.52,2.0,5,5,100,22,2,399,236052,0.037333333333333336,0.3333333333333333,0.03571428571428571,0.8110345765730115,fold_metric,10,0.03,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1440,2
0.15639172665468995,,,,,0.1202264448249025,uncalibrated,0.16038625835077633,23,238,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.1946496172383947,,histgb,,5,0.76,-1.0,4,72,19,79.44103641310217,3.03,1770.54,2.0,5,5,100,24,4,303,177054,0.037333333333333336,0.12177121771217712,0.5892857142857143,0.856036060546102,fold_metric,2,0.7,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1206,33
0.14656873657825797,,,,,0.033938510633175774,sigmoid,0.01293649653018803,56,0,class_weight=balanced;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.24460159556301508,,histgb,,5,0.75,-2.0,4,71,19,80.8843696187069,2.83,1646.24,2.0,6,6,100,25,4,283,164624,0.037333333333333336,0.0,0.0,0.8506937574198655,fold_metric,10,0.1,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1444,0
0.12707624741654033,,,,,0.03735446912981944,isotonic,0.021721398800692918,56,5,class_weight=None;l2_regularization=1.0;learning_rate=0.05;max_leaf_nodes=7,0.17924387847168854,,histgb,,5,0.74,-3.0,2,72,21,73.8085534039092,3.78,2255.61,2.0,5,5,100,24,2,378,225561,0.037333333333333336,0.0,0.0,0.8185904728927582,fold_metric,10,0.01,inner_accuracy_within_1pp_of_n16_then_min_mean_samples,1439,0
0.15921458028192584,,,,,0.03206211611160382,isotonic,0.008578777261656496,263,6,,,,histgb,,all,0.77,-1.8,6,379,100,70.57314338552055,4.174,2612.79,2.0,15,15,500,102,6,2087,1306395,0.0352,0.14285714285714285,0.003787878787878788,0.8455944708276798,aggregate_metric,,,,7230,1
,1,6256,0.1,0.0,,isotonic,,,,,,0.009461161381606414,histgb,0.012627877237851663,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,757,0.2,0.1,,isotonic,,,,,,0.12743393510864676,histgb,0.13210039630118892,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,3,338,0.30000000000000004,0.2,,isotonic,,,,,,0.21547021366380556,histgb,0.14792899408284024,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,4,142,0.4,0.30000000000000004,,isotonic,,,,,,0.33501618618881757,histgb,0.23943661971830985,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,6,3,0.6000000000000001,0.5,,isotonic,,,,,,0.5320377619402202,histgb,0.3333333333333333,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,10,4,1.0,0.9,,isotonic,,,,,,1.0,histgb,0.0,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
0.1762125093117766,,,,,0.03089155814205438,sigmoid,0.00685392998651335,264,1,,,,histgb,,all,0.782,-0.6,12,379,94,72.49911870011364,3.85,2441.784,3.0,15,15,500,103,12,1925,1220892,0.0352,0.0,0.0,0.8665571029532473,aggregate_metric,,,,7235,0
,1,6704,0.1,0.0,,sigmoid,,,,,,0.01269023248658178,histgb,0.017899761336515514,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,587,0.2,0.1,,sigmoid,,,,,,0.14254331622371483,histgb,0.16524701873935263,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,3,196,0.30000000000000004,0.2,,sigmoid,,,,,,0.23289850346148824,histgb,0.22959183673469388,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,4,12,0.4,0.30000000000000004,,sigmoid,,,,,,0.3261886562517427,histgb,0.16666666666666666,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,6,1,0.6000000000000001,0.5,,sigmoid,,,,,,0.5903495587423739,histgb,0.0,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
0.14927554129537063,,,,,0.09053222873484301,uncalibrated,0.10998802012274848,124,843,,,,histgb,,all,0.77,-1.8,8,377,98,73.52379171814623,3.748,2350.804,2.0,17,17,500,102,8,1874,1175402,0.0352,0.14242115971515767,0.5303030303030303,0.8415325518870295,aggregate_metric,,,,6393,140
,1,5580,0.1,0.0,,uncalibrated,,,,,,0.014568331726823543,histgb,0.008243727598566309,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,340,0.2,0.1,,uncalibrated,,,,,,0.13785658647295287,histgb,0.06470588235294118,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,3,262,0.30000000000000004,0.2,,uncalibrated,,,,,,0.25368528313974364,histgb,0.11068702290076336,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
