analysis_type,features,mean,median,metric,n,outcome,prefix,signal,test_questions,train_questions,value
signal_summary,,5.2,6.5,,10,improves,10,answer_stability,,,
signal_summary,,0.8420238095238095,1.0,,480,no_correctness_change,10,consensus,,,
signal_summary,,0.3708891467840824,0.0,,480,no_correctness_change,10,answer_entropy,,,
signal_summary,,0.7532192460317461,1.0,,480,no_correctness_change,10,vote_margin,,,
signal_summary,,8.9875,10.0,,480,no_correctness_change,10,answer_stability,,,
signal_summary,,0.3926984126984127,0.4,,5,regression,10,consensus,,,
signal_summary,,1.2332375124633757,1.0986122886681096,,5,regression,10,answer_entropy,,,
signal_summary,,0.06000000000000001,0.0,,5,regression,10,vote_margin,,,
signal_summary,,4.4,4.0,,5,regression,10,answer_stability,,,
signal_summary,,0.39818823152156485,0.3333333333333333,,9,improves,11,consensus,,,
signal_summary,,1.2123848261531474,1.0986122886681096,,9,improves,11,answer_entropy,,,
signal_summary,,0.06963283629950297,0.09090909090909091,,9,improves,11,vote_margin,,,
signal_summary,,4.777777777777778,2.0,,9,improves,11,answer_stability,,,
signal_summary,,0.8362914116019705,1.0,,483,no_correctness_change,11,consensus,,,
signal_summary,,0.3934822568647755,0.0,,483,no_correctness_change,11,answer_entropy,,,
signal_summary,,0.7465173772627189,1.0,,483,no_correctness_change,11,vote_margin,,,
signal_summary,,9.846790890269151,11.0,,483,no_correctness_change,11,answer_stability,,,
signal_summary,,0.40606060606060607,0.4,,3,regression,11,consensus,,,
signal_summary,,1.2408287336914765,1.1935496040981333,,3,regression,11,answer_entropy,,,
signal_summary,,0.030303030303030304,0.0,,3,regression,11,vote_margin,,,
signal_summary,,2.6666666666666665,2.0,,3,regression,11,answer_stability,,,
signal_summary,,0.31825396825396823,0.2857142857142857,,5,improves,12,consensus,,,
signal_summary,,1.4574741765014458,1.704551445267297,,5,improves,12,answer_entropy,,,
signal_summary,,0.050793650793650794,0.0,,5,improves,12,vote_margin,,,
signal_summary,,7.4,9.0,,5,improves,12,answer_stability,,,
signal_summary,,0.8324746437682782,1.0,,487,no_correctness_change,12,consensus,,,
signal_summary,,0.4068528634061008,0.0,,487,no_correctness_change,12,answer_entropy,,,
signal_summary,,0.7415440708048511,1.0,,487,no_correctness_change,12,vote_margin,,,
signal_summary,,10.722792607802875,12.0,,487,no_correctness_change,12,answer_stability,,,
signal_summary,,0.42424242424242425,0.5,,3,regression,12,consensus,,,
signal_summary,,1.136742390601724,0.9184277849930976,,3,regression,12,answer_entropy,,,
signal_summary,,0.027777777777777776,0.0,,3,regression,12,vote_margin,,,
signal_summary,,1.0,1.0,,3,regression,12,answer_stability,,,
signal_summary,,0.3421467421467422,0.36363636363636365,,5,improves,13,consensus,,,
signal_summary,,1.505651138943582,1.4127446368638479,,5,improves,13,answer_entropy,,,
signal_summary,,0.06617826617826618,0.07692307692307693,,5,improves,13,vote_margin,,,
signal_summary,,3.6,1.0,,5,improves,13,answer_stability,,,
signal_summary,,0.8316590001528525,1.0,,488,no_correctness_change,13,consensus,,,
signal_summary,,0.41622762604284647,0.0,,488,no_correctness_change,13,answer_entropy,,,
signal_summary,,0.7425518811789305,1.0,,488,no_correctness_change,13,vote_margin,,,
signal_summary,,11.60860655737705,13.0,,488,no_correctness_change,13,answer_stability,,,
signal_summary,,0.42307692307692313,0.42307692307692313,,2,regression,13,consensus,,,
signal_summary,,1.2152001021774321,1.2152001021774321,,2,regression,13,answer_entropy,,,
signal_summary,,0.038461538461538464,0.038461538461538464,,2,regression,13,vote_margin,,,
signal_summary,,1.5,1.5,,2,regression,13,answer_stability,,,
signal_summary,,0.3782051282051282,0.38461538461538464,,3,improves,14,consensus,,,
signal_summary,,1.3546801244189364,1.4127446368638479,,3,improves,14,answer_entropy,,,
signal_summary,,0.053418803418803416,0.07692307692307693,,3,improves,14,vote_margin,,,
signal_summary,,5.333333333333333,2.0,,3,improves,14,answer_stability,,,
signal_summary,,0.8291653922000154,1.0,,491,no_correctness_change,14,consensus,,,
signal_summary,,0.42797907393431145,0.0,,491,no_correctness_change,14,answer_entropy,,,
signal_summary,,0.7394929126090022,1.0,,491,no_correctness_change,14,vote_margin,,,
signal_summary,,12.509164969450103,14.0,,491,no_correctness_change,14,answer_stability,,,
signal_summary,,0.4,0.4,,2,regression,14,consensus,,,
signal_summary,,1.2969739369368922,1.2969739369368922,,2,regression,14,answer_entropy,,,
signal_summary,,0.08571428571428572,0.08571428571428572,,2,regression,14,vote_margin,,,
signal_summary,,2.0,2.0,,2,regression,14,answer_stability,,,
signal_summary,,0.40569800569800574,0.46153846153846156,,3,improves,15,consensus,,,
signal_summary,,1.1123557686631012,0.9110175397125628,,3,improves,15,answer_entropy,,,
signal_summary,,0.022222222222222223,0.0,,3,improves,15,vote_margin,,,
signal_summary,,5.666666666666667,3.0,,3,improves,15,answer_stability,,,
signal_summary,,0.8274620857442944,1.0,,489,no_correctness_change,15,consensus,,,
signal_summary,,0.44071013949366267,0.0,,489,no_correctness_change,15,answer_entropy,,,
signal_summary,,0.7402223940567499,1.0,,489,no_correctness_change,15,vote_margin,,,
signal_summary,,13.494887525562373,15.0,,489,no_correctness_change,15,answer_stability,,,
signal_summary,,0.4015151515151515,0.43333333333333335,,4,regression,15,consensus,,,
signal_summary,,1.139712104460118,0.9733937816516975,,4,regression,15,answer_entropy,,,
signal_summary,,0.022727272727272728,0.0,,4,regression,15,vote_margin,,,
signal_summary,,2.0,1.5,,4,regression,15,answer_stability,,,
grouped_holdout_logistic,consensus|answer_entropy|vote_margin|answer_stability|invalid_extraction_rate|unique_answers|prefix,,,roc_auc,1462,improves,1-15,all_online_signals,100,400,0.8882479432692656
grouped_holdout_logistic,consensus|answer_entropy|vote_margin|answer_stability|invalid_extraction_rate|unique_answers|prefix,,,average_precision,1462,improves,1-15,all_online_signals,100,400,0.17172232990761344
grouped_holdout_logistic,consensus|answer_entropy|vote_margin|answer_stability|invalid_extraction_rate|unique_answers|prefix,,,brier,1462,improves,1-15,all_online_signals,100,400,0.1406219843450901
grouped_holdout_logistic,consensus|answer_entropy|vote_margin|answer_stability|invalid_extraction_rate|unique_answers|prefix,,,test_prevalence,1462,improves,1-15,all_online_signals,100,400,0.04035567715458276
